Name,Site type,Community,Location
Garn Las Earthwork,Round cairn,Troed-y-rhiw,"51°43′29″N 3°24′26″W﻿ / ﻿51.7248°N 3.4073°W, SO028038"
Merthyr Common Round Cairns,Round cairn,Troed-y-rhiw,"51°43′46″N 3°20′09″W﻿ / ﻿51.7295°N 3.3357°W, SO078042"
Carn Ddu platform cairn,Platform Cairn,Vaynor,"51°48′13″N 3°23′59″W﻿ / ﻿51.8037°N 3.3998°W, SO035125"
Cefn Cil-Sanws ring cairn,Ring cairn,Vaynor,"51°47′15″N 3°24′58″W﻿ / ﻿51.7875°N 3.4162°W, SO024108"
"Cefn Cil-Sanws, Cairn on SW side of",Round Cairn,Vaynor,"51°46′43″N 3°24′53″W﻿ / ﻿51.7785°N 3.4147°W, SO024098"
Coetgae'r Gwartheg barrow cemetery,Round cairn,Vaynor,"51°47′37″N 3°25′08″W﻿ / ﻿51.7935°N 3.419°W, SO022114"
Garn Pontsticill ring cairn,Ring cairn,Vaynor,"51°47′48″N 3°22′30″W﻿ / ﻿51.7966°N 3.375°W, SO052117"
Dyke 315m E of Tyla-Glas,Ditch,Bedlinog,"51°42′12″N 3°17′15″W﻿ / ﻿51.7033°N 3.2876°W, SO111012"
Cefn Cil-Sanws Defended Enclosure,Enclosure - Defensive,Vaynor,"51°46′47″N 3°24′38″W﻿ / ﻿51.7796°N 3.4105°W, SO027099"
Enclosure East of Nant Cwm Moel,Enclosure - Defensive,Vaynor,"51°47′32″N 3°23′38″W﻿ / ﻿51.7922°N 3.394°W, SO039113"
Enclosure on Coedcae'r Ychain,Enclosure - Defensive,Vaynor,"51°47′29″N 3°25′00″W﻿ / ﻿51.7915°N 3.4167°W, SO023112"
Gelligaer Common Roman Road,Road,Bedlinog,"51°43′21″N 3°18′03″W﻿ / ﻿51.7226°N 3.3007°W, SO102034"
"Nant Crew Inscribed Stone (now in St John's Church, Cefn Coed )",Standing stone,Vaynor,"51°45′46″N 3°24′13″W﻿ / ﻿51.7628°N 3.4035°W, SO032081"
Platform Houses and Cairn Cemetery on Dinas Noddfa,House platforms (& Cairnfield),Bedlinog,"51°43′10″N 3°18′48″W﻿ / ﻿51.7195°N 3.3132°W, SO093031"
Platform Houses on Coly Uchaf,Platform house,Bedlinog,"51°42′40″N 3°18′58″W﻿ / ﻿51.7112°N 3.3161°W, SO091022"
Morlais Castle,Castle,Pant,"51°46′36″N 3°22′44″W﻿ / ﻿51.7768°N 3.3789°W, SO049095"
Cae Burdydd Castle,Motte,Vaynor,"51°46′57″N 3°22′56″W﻿ / ﻿51.7824°N 3.3823°W, SO047102"
Cefn Car settlement,Building (Unclassified),Vaynor,"51°48′30″N 3°25′32″W﻿ / ﻿51.8084°N 3.4256°W, SO018131"
Gurnos Quarry Tramroad & Leat,Industrial monument,Gurnos,"51°45′45″N 3°24′01″W﻿ / ﻿51.7624°N 3.4002°W, SO034080"
Sarn Howell Pond and Watercourses,Pond,Town,"51°44′50″N 3°19′27″W﻿ / ﻿51.7471°N 3.3241°W, SO086062"
Abercanaid egg-ended boiler,"Egg-ended Boiler, re-purposed as garden shed",Troed-y-rhiw,"51°43′29″N 3°22′04″W﻿ / ﻿51.7248°N 3.3679°W, SO056037"
Cyfarthfa Canal Level,Canal Level,Cyfarthfa,"51°44′20″N 3°23′15″W﻿ / ﻿51.7388°N 3.3876°W, SO042053"
Cyfarthfa Tramroad Section at Heolgerrig,Tramroad,Cyfarthfa,"51°44′46″N 3°24′16″W﻿ / ﻿51.7462°N 3.4044°W, SO031062"
"Iron Ore Scours and Patch Workings at Winch Fawr, Merthyr Tydfil",Iron mine,Cyfarthfa,"51°45′07″N 3°25′27″W﻿ / ﻿51.752°N 3.4241°W, SO017068"
Ynys Fach Iron Furnaces,Industrial monument,Cyfarthfa,"51°44′42″N 3°23′03″W﻿ / ﻿51.745°N 3.3841°W, SO045060"
Penydarren Tram Road,Trackway,Merthyr Vale,"51°40′15″N 3°19′49″W﻿ / ﻿51.6707°N 3.3304°W, ST080977"
Iron Canal Bridge from Rhydycar,Bridge,Park,"51°45′01″N 3°23′09″W﻿ / ﻿51.7504°N 3.3857°W, SO044066"
Pont-y-Cafnau tramroad bridge,Bridge,Park,"51°45′17″N 3°23′44″W﻿ / ﻿51.7546°N 3.3956°W, SO037071"
Merthyr Tramroad: Morlais Castle section,Tramroad,Pant,"51°46′43″N 3°22′57″W﻿ / ﻿51.7786°N 3.3826°W, SO047097"
Merthyr Tramroad Tunnel (Trevithick's Tunnel),Tramroad,Troed-y-rhiw,"51°44′06″N 3°22′07″W﻿ / ﻿51.7349°N 3.3686°W, SO055049"
Cwmdu Air Shaft & Fan,Air Shaft,Cyfarthfa,"51°44′14″N 3°24′14″W﻿ / ﻿51.7371°N 3.4039°W, SO031051"
"Remains of Blast Furnaces, Cyfarthfa Ironworks",Blast Furnace,Park,"51°45′08″N 3°23′43″W﻿ / ﻿51.7521°N 3.3952°W, SO037068"
Tai Mawr Leat for Cyfarthfa Iron Works,Leat,Park,"51°45′31″N 3°24′17″W﻿ / ﻿51.7586°N 3.4046°W, SO031076"
"Deserted Iron Mining Village, Ffos-y-fran",Industrial monument,Troed-y-rhiw,"51°44′31″N 3°20′47″W﻿ / ﻿51.742°N 3.3463°W, SO071056"
Gray Hill Stone Circle,Stone circle,Caerwent,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°38′16″N 2°48′49″W﻿ / ﻿51.6379°N 2.8136°W, ST437935"
Thornwell Farm burial mounds,Chambered long barrow,Chepstow,"51°37′17″N 2°40′02″W﻿ / ﻿51.6213°N 2.6673°W, ST539916"
St Peter's Cave,Cave,Chepstow,"51°37′53″N 2°40′04″W﻿ / ﻿51.6313°N 2.6677°W, ST538927"
Llangibby Bottom Standing Stone,Standing stone,Llangybi,"51°39′46″N 2°53′50″W﻿ / ﻿51.6628°N 2.8971°W, ST380963"
Heston Brake Long Barrow,Long barrow,Portskewett,"51°35′41″N 2°42′55″W﻿ / ﻿51.5946°N 2.7154°W, ST505886"
Llanfihangel Rogiet Standing Stone,Standing stone,Rogiet,"51°35′10″N 2°48′08″W﻿ / ﻿51.586°N 2.8022°W, ST445877"
Gaerllwyd Burial Chamber,Chambered tomb,Shirenewton,"51°40′00″N 2°48′00″W﻿ / ﻿51.6667°N 2.8°W, ST447967"
Harold's Stones,Stone alignment,Trellech United,"51°44′34″N 2°43′36″W﻿ / ﻿51.7427°N 2.7266°W, SO499051"
Crick Round Barrow,Round barrow,Caerwent,"51°36′32″N 2°44′45″W﻿ / ﻿51.6088°N 2.7459°W, ST484902"
Foresters' Oaks round barrow,Round barrow,Caerwent,"51°38′34″N 2°49′31″W﻿ / ﻿51.6428°N 2.8254°W, ST429941"
Five Lanes Round Barrow,Round barrow,Caerwent,"51°36′52″N 2°47′41″W﻿ / ﻿51.6144°N 2.7946°W, ST450909"
Cwm Bwchel Round Cairn,Round cairn,Llanvihangel Crucorney,"51°56′20″N 3°03′17″W﻿ / ﻿51.9388°N 3.0548°W, SO275272"
Garreg Las Round Cairns,Round cairn,Llanvihangel Crucorney,"51°55′30″N 3°00′23″W﻿ / ﻿51.9249°N 3.0063°W, SO309256"
Graig Ddu Round Cairn,Round cairn,Llanvihangel Crucorney,"51°56′19″N 3°03′17″W﻿ / ﻿51.9387°N 3.0548°W, SO284264"
Hatterrall Hill Enclosure,Enclosure,Llanvihangel Crucorney,"51°55′27″N 3°00′30″W﻿ / ﻿51.9241°N 3.0083°W, SO308255"
Loxidge Tump cairn,Round cairn,Llanvihangel Crucorney,"51°57′25″N 3°02′11″W﻿ / ﻿51.9569°N 3.0363°W, SO288292"
Rhiw Arw cairn,Round cairn,Llanvihangel Crucorney,"51°56′18″N 3°00′32″W﻿ / ﻿51.9383°N 3.0089°W, SO307271"
Three Wells Round Cairn,Round cairn,Llanvihangel Crucorney,"51°54′29″N 2°59′47″W﻿ / ﻿51.908°N 2.9964°W, SH315237"
Chepstow Park Wood Cairn,Round cairn,Devauden,"51°40′28″N 2°44′15″W﻿ / ﻿51.6744°N 2.7376°W, ST490975"
Carn Blorenge,Round cairn,Llanfoist Fawr,"51°48′02″N 3°03′37″W﻿ / ﻿51.8006°N 3.0602°W, SO269118"
Carn-y-Defaid Round Cairns,Round cairn,Llanfoist Fawr,"51°47′03″N 3°03′31″W﻿ / ﻿51.7842°N 3.0585°W, SO270100"
Middle Hendre Round Barrow,Round barrow,Llangattock-Vibon-Avel,"51°49′12″N 2°47′37″W﻿ / ﻿51.82°N 2.7936°W, SO453137"
Round Barrow 180m North of Ty-Canol,Round barrow,Llanover,"51°46′01″N 2°56′30″W﻿ / ﻿51.767°N 2.9417°W, SO351080"
Wentwood Lodge Round Barrows,Round barrow,Shirenewton,"51°38′48″N 2°50′41″W﻿ / ﻿51.6467°N 2.8446°W, ST416945"
Lower Hale Wood Round Barrows,Round cairn,Tintern,"51°42′20″N 2°41′42″W﻿ / ﻿51.7055°N 2.6951°W, SO520009"
Gwehelog Camp,Enclosure,Gwehelog Fawr,"51°43′04″N 2°52′27″W﻿ / ﻿51.7177°N 2.8743°W, SO397024"
Defended Enclosure 350m NNW of Ty-Uchaf,Enclosure - Defensive,Llanelly,"51°49′51″N 3°07′34″W﻿ / ﻿51.8309°N 3.1262°W, SO224153"
Buckholt Wood Hilltop Enclosure,Enclosure,Monmouth,"51°50′23″N 2°43′27″W﻿ / ﻿51.8397°N 2.7241°W, SO502159"
Sudbrook Camp and Sudbrook Chapel,Enclosure,Portskewett,"51°34′57″N 2°42′55″W﻿ / ﻿51.5826°N 2.7154°W, ST505873"
Bishop Barnet's Wood Camp,Enclosure,Mathern,"51°38′40″N 2°41′45″W﻿ / ﻿51.6445°N 2.6957°W, ST519941"
Llanmelin Wood Hill Fort,Hill fort,Shirenewton,"51°37′45″N 2°46′46″W﻿ / ﻿51.6291°N 2.7794°W, ST461925"
The Larches Camp,Hill fort,Caerwent,"51°36′21″N 2°49′13″W﻿ / ﻿51.6058°N 2.8202°W, ST432899"
Chepstow Bulwarks Camp,Hill fort,Chepstow,"51°37′52″N 2°40′08″W﻿ / ﻿51.6312°N 2.6689°W, ST538927"
Pen-Twyn Earthwork,Hill fort,Llanvihangel Crucorney,"51°54′04″N 2°59′15″W﻿ / ﻿51.9011°N 2.9874°W, SO321229"
Twyn-y-Gaer Camp,Hill fort,Llanvihangel Crucorney,"51°53′30″N 3°01′38″W﻿ / ﻿51.8916°N 3.0273°W, SO294219"
Llancayo Camp,Hill fort,Gwehelog Fawr,"51°43′46″N 2°54′07″W﻿ / ﻿51.7294°N 2.902°W, SO378038"
Coed y Bwnydd Camp,Hill fort,Llanarth,"51°45′23″N 2°55′13″W﻿ / ﻿51.7565°N 2.9203°W, SO365068"
Gaer Fawr hill fort,Hill fort,Llangwm,"51°41′07″N 2°48′35″W﻿ / ﻿51.6853°N 2.8096°W, ST441988"
Great House Camp,Hill fort,Llangwm,"51°43′34″N 2°49′23″W﻿ / ﻿51.7261°N 2.8231°W, SO432033"
Cae Camp,Hill fort,Llanhennock,"51°38′23″N 2°55′40″W﻿ / ﻿51.6398°N 2.9278°W, ST358938"
Candwr Camp,Hill fort,Llanhennock,"51°38′09″N 2°58′11″W﻿ / ﻿51.6357°N 2.9698°W, ST329934"
Wilcrick Hill Camp,Hill fort,Magor with Undy,"51°35′09″N 2°51′04″W﻿ / ﻿51.5859°N 2.8512°W, ST411877"
"Gaer Hill Camp, Penterry",Hill fort,St Arvans,"51°40′40″N 2°42′01″W﻿ / ﻿51.6779°N 2.7002°W, ST516979"
Pierce Wood Camps,Hill fort,St Arvans,"51°39′37″N 2°40′20″W﻿ / ﻿51.6604°N 2.6721°W, ST536959"
Blackcliff Wood Camp,Hill fort,Tintern,"51°41′16″N 2°40′58″W﻿ / ﻿51.6878°N 2.6827°W, ST529990"
"Gaer hill fort, Trellech",Hill fort,Trellech United,"51°43′49″N 2°44′08″W﻿ / ﻿51.7303°N 2.7356°W, SO492037"
Abergavenny Roman Fort,Fort,Abergavenny,"51°49′13″N 3°01′08″W﻿ / ﻿51.8204°N 3.019°W, SO298140"
Caerwent Roman Town (Venta Silurum),House (domestic),Caerwent,"51°36′45″N 2°46′06″W﻿ / ﻿51.6126°N 2.7683°W, ST469907"
Church Farm Romano-British settlement,Enclosure,Caldicot,"51°35′57″N 2°44′59″W﻿ / ﻿51.5993°N 2.7496°W, ST481892"
Stoop Hill Cropmark Enclosure,Enclosure,Caldicot,"51°34′58″N 2°44′50″W﻿ / ﻿51.5828°N 2.7472°W, ST483873"
Portskewett Hill Roman Site,Unclassified site,Portskewett,"51°35′41″N 2°43′35″W﻿ / ﻿51.5946°N 2.7264°W, ST497886"
Usk Roman Site,Fort,Usk,"51°42′05″N 2°53′58″W﻿ / ﻿51.7014°N 2.8995°W, SO379006"
Five Lanes Roman Site,Villa,Caerwent,"51°36′55″N 2°48′04″W﻿ / ﻿51.6153°N 2.8011°W, ST446910"
Whitewall Brake Roman Site,Villa,Caerwent,"51°37′00″N 2°45′33″W﻿ / ﻿51.6168°N 2.7592°W, ST475911"
"Little Hadnock Roman Villa, Dixton Newtown",Villa,Monmouth,"51°50′02″N 2°40′33″W﻿ / ﻿51.8338°N 2.6758°W, SO535152"
Wyndcliff Roman Site,Villa,St Arvans,"51°40′30″N 2°41′04″W﻿ / ﻿51.6751°N 2.6844°W, ST527975"
Hatterrall Hill Cross Ridge Dyke,Linear earthwork,Llanvihangel Crucorney,"51°55′13″N 3°00′52″W﻿ / ﻿51.9202°N 3.0144°W, SO303251"
Skirrid Fawr hill fort,Hill fort,Llantilio Pertholey,"51°51′28″N 2°58′23″W﻿ / ﻿51.8579°N 2.9731°W, SO330181"
St Michaels Chapel (remains),Chapel,Llantilio Pertholey,"51°51′28″N 2°58′23″W﻿ / ﻿51.8579°N 2.9731°W, SO330181"
Croes Lwyd Farm Cross,Cross,Raglan,"51°45′30″N 2°52′12″W﻿ / ﻿51.7584°N 2.8699°W, SO400069"
St Arvan's Church Cross-slab,Cross-marked stone,St Arvans,"51°39′55″N 2°42′01″W﻿ / ﻿51.6653°N 2.7004°W, ST516965"
Abergavenny Bridge,Bridge,Abergavenny,"51°49′10″N 3°01′45″W﻿ / ﻿51.8195°N 3.0292°W, SO291139"
Abergavenny Castle,Castle,Abergavenny,"51°49′11″N 3°01′03″W﻿ / ﻿51.8197°N 3.0174°W, SO299139"
St Mary's Priory,Priory,Abergavenny,"51°49′17″N 3°00′57″W﻿ / ﻿51.8213°N 3.0157°W, SO300141"
Crick Medieval House,House (domestic),Caerwent,"51°36′32″N 2°44′15″W﻿ / ﻿51.6089°N 2.7376°W, ST490902"
Crick Moated Site,Moated Site,Caerwent,"51°36′34″N 2°44′16″W﻿ / ﻿51.6095°N 2.7378°W, ST490903"
Dinham Castle,Castle,Caerwent,"51°37′39″N 2°45′08″W﻿ / ﻿51.6274°N 2.7522°W, ST480923"
Llanvair Castle,Castle,Caerwent,"51°37′40″N 2°48′07″W﻿ / ﻿51.6278°N 2.802°W, ST445924"
St. Brides Netherwent Deserted Village,Deserted Medieval Village,Caerwent,"51°36′06″N 2°49′39″W﻿ / ﻿51.6017°N 2.8276°W, ST427895"
Caldicot Castle (unoccupied parts),Castle,Caldicot,"51°35′36″N 2°44′36″W﻿ / ﻿51.5932°N 2.7432°W, ST486885"
The Berries Mound & Bailey Castle,Motte & Bailey,Caldicot,"51°36′08″N 2°44′29″W﻿ / ﻿51.6022°N 2.7415°W, ST487895"
Chepstow Castle,Castle,Chepstow,"51°38′37″N 2°40′32″W﻿ / ﻿51.6437°N 2.6755°W, ST533940"
Chepstow Port Wall,Town defences,Chepstow,"51°38′25″N 2°40′34″W﻿ / ﻿51.6404°N 2.6762°W, ST533937"
"St Martin's Cwmyoy, Churchyard Cross",Cross,Llanvihangel Crucorney,"51°54′15″N 3°01′13″W﻿ / ﻿51.9042°N 3.0202°W, SO299233"
Llanthony Priory,Priory,Llanvihangel Crucorney,"51°56′41″N 3°02′11″W﻿ / ﻿51.9448°N 3.0364°W, SO289278"
Pen-y-Clawdd Castle Mound,Motte,Llanvihangel Crucorney,"51°52′31″N 3°00′13″W﻿ / ﻿51.8752°N 3.0037°W, SO310201"
Penbidwal Moated Site,Moated Site,Llanvihangel Crucorney,"51°53′39″N 2°57′30″W﻿ / ﻿51.8942°N 2.9582°W, SO341221"
"Tre Fedw, Moat Mound and Bailey Castle",Motte & Bailey,Llanvihangel Crucorney,"51°53′26″N 2°58′27″W﻿ / ﻿51.8905°N 2.9743°W, SO330217"
Chepstow Park Wood Moated Site,Moated Site,Devauden,"51°40′42″N 2°44′20″W﻿ / ﻿51.6783°N 2.7388°W, ST490979"
Cwrt y Gaer Ringwork,Ringwork,Devauden,"51°41′42″N 2°47′56″W﻿ / ﻿51.6949°N 2.799°W, ST448998"
"Holy Cross Kilgwrrwg, Churchyard Cross",Cross,Devauden,"51°40′56″N 2°46′45″W﻿ / ﻿51.6822°N 2.7792°W, ST462984"
"St Thomas a Becket's Wolvesnewton, Churchyard Cross",Cross,Devauden,"51°41′38″N 2°47′27″W﻿ / ﻿51.6939°N 2.7909°W, ST454997"
Goytre Wood Castle Mound,Motte,Grosmont,"51°54′16″N 2°56′29″W﻿ / ﻿51.9045°N 2.9415°W, SO353233"
Grosmont Castle,Castle,Grosmont,"51°54′55″N 2°51′57″W﻿ / ﻿51.9154°N 2.8657°W, SO405244"
"St Nicholas' Grosmont, Churchyard Cross",Cross,Grosmont,"51°54′51″N 2°52′01″W﻿ / ﻿51.9143°N 2.8669°W, SO404243"
"St Cadoc's Llangattock Lingoed, Churchyard Cross",Cross,Grosmont,"51°52′31″N 2°55′43″W﻿ / ﻿51.8754°N 2.9287°W, SO361200"
"St James's Llanvetherine, Churchyard Cross",Cross,Grosmont,"51°50′59″N 2°55′28″W﻿ / ﻿51.8497°N 2.9244°W, SO364171"
"St David's Trostre, Churchyard Cross",Cross,Gwehelog Fawr,"51°44′05″N 2°55′43″W﻿ / ﻿51.7347°N 2.9285°W, SO359044"
"St Aeddan's Bettws Newydd, Churchyard Cross",Cross,Llanarth,"51°44′52″N 2°55′30″W﻿ / ﻿51.7478°N 2.9251°W, SO362058"
"St Teilo's Llanarth, Churchyard Cross",Cross,Llanarth,"51°47′37″N 2°54′24″W﻿ / ﻿51.7937°N 2.9066°W, SO375109"
"St Mabli's Llanvapley, Churchyard Cross",Cross,Llanarth,"51°49′18″N 2°55′12″W﻿ / ﻿51.8217°N 2.9201°W, SO366140"
"St Peter's Bryngwyn, Churchyard Cross",Cross,Llanarth,"51°46′45″N 2°53′05″W﻿ / ﻿51.7792°N 2.8847°W, SO390093"
Twyn y Cregen Castle Mound,Motte,Llanarth,"51°46′55″N 2°55′31″W﻿ / ﻿51.782°N 2.9252°W, SO362096"
Wern-y-Cwrt Castle Mound,Motte,Llanarth,"51°46′29″N 2°52′47″W﻿ / ﻿51.7746°N 2.8797°W, SO394088"
Graig Foel medieval ringwork,Ringwork,Llanbadoc,"51°42′17″N 2°54′49″W﻿ / ﻿51.7046°N 2.9136°W, SO369010"
Battle Tump,Mound,Llanelly,"51°50′03″N 3°05′39″W﻿ / ﻿51.8341°N 3.0941°W, SO247156"
"St Peter's Llanwenarth, Churchyard Cross",Cross,Llanfoist Fawr,"51°49′38″N 3°03′09″W﻿ / ﻿51.8271°N 3.0524°W, SO275147"
"St Faith's Llanfoist, Churchyard Cross",Cross,Llanfoist Fawr,"51°48′46″N 3°02′11″W﻿ / ﻿51.8129°N 3.0365°W, SO288132"
Skenfrith Deserted Medieval Settlement,Deserted Medieval Village,Llangattock-Vibon-Avel,"51°52′43″N 2°47′39″W﻿ / ﻿51.8785°N 2.7942°W, SO454202"
Newcastle Castle,Motte & Bailey,Llangattock-Vibon-Avel,"51°51′05″N 2°48′14″W﻿ / ﻿51.8513°N 2.8038°W, SO447172"
Grace Dieu Abbey,Abbey,Llangattock-Vibon-Avel,"51°48′51″N 2°47′51″W﻿ / ﻿51.8142°N 2.7974°W, SO451131"
Skenfrith Castle,Castle,Llangattock-Vibon-Avel,"51°52′43″N 2°47′25″W﻿ / ﻿51.8786°N 2.7904°W, SO456203"
Llangwm Mound & Bailey Castle,Motte,Llangwm,"51°41′38″N 2°49′47″W﻿ / ﻿51.694°N 2.8297°W, ST427997"
Rockfield Farm motte,Ringwork,Llangwm,"51°42′21″N 2°50′04″W﻿ / ﻿51.7057°N 2.8345°W, SO424011"
Ffynnon Cybi (St Cybi's Well),Well,Llangybi,"51°39′55″N 2°54′21″W﻿ / ﻿51.6652°N 2.9058°W, ST374966"
Llangibby Castle (Castell Tregrug),Castle,Llangybi,"51°40′18″N 2°55′16″W﻿ / ﻿51.6717°N 2.9211°W, ST364973"
Llangibby Castle Mound,Motte,Llangybi,"51°40′17″N 2°54′47″W﻿ / ﻿51.6714°N 2.913°W, ST369973"
Castell Arnallt (Castle Arnold),Motte,Llanover,"51°47′06″N 2°59′14″W﻿ / ﻿51.7849°N 2.9873°W, SO319100"
"St Cadoc's Llangattock Nigh Usk, Churchyard Cross",Cross,Llanover,"51°46′54″N 2°58′20″W﻿ / ﻿51.7816°N 2.9722°W, SO330096"
"St David's Llanddewi Rhydderch, Churchyard Cross",Cross,Llanover,"51°48′41″N 2°56′40″W﻿ / ﻿51.8114°N 2.9444°W, SO349129"
"St Michael's Llanvihangel Nigh Usk, Churchyard Cross",Cross,Llanover,"51°46′40″N 2°56′57″W﻿ / ﻿51.7778°N 2.9491°W, SO346092"
St Mary's Yard Castle Mound,Motte,Llanover,"51°45′26″N 2°56′36″W﻿ / ﻿51.7573°N 2.9434°W, SO349069"
"St Bartholomew's Llanover, Churchyard Cross",Cross,Llanover,"51°46′45″N 2°59′24″W﻿ / ﻿51.7791°N 2.9901°W, SO317094"
"St Bridget's Llansantffraed, Churchyard Cross",Cross,Llanover,"51°47′06″N 2°55′59″W﻿ / ﻿51.7849°N 2.9331°W, SO357099"
"St Mary's Llanfair Cilgedyn, Churchyard Cross",Cross,Llanover,"51°46′22″N 2°56′06″W﻿ / ﻿51.7729°N 2.9351°W, SO355086"
Hen Gwrt Moated Site,Moated Site,Llantilio Crossenny,"51°49′53″N 2°52′42″W﻿ / ﻿51.8315°N 2.8782°W, SO395151"
Penrhos Mound & Bailey Castle,Motte & Bailey,Llantilio Crossenny,"51°48′53″N 2°51′29″W﻿ / ﻿51.8146°N 2.8581°W, SO409132"
White Castle,Castle,Llantilio Crossenny,"51°50′46″N 2°54′08″W﻿ / ﻿51.8461°N 2.9022°W, SO379167"
Coed-Cwnwr Moated Site,Moated Site,Llantrisant Fawr,"51°41′26″N 2°51′04″W﻿ / ﻿51.6905°N 2.8511°W, ST412994"
Moated Site North West of Bertholey House (White Hall),Moated Site,Llantrisant Fawr,"51°38′57″N 2°53′02″W﻿ / ﻿51.6493°N 2.8839°W, ST389948"
The Procurator's House,House (domestic),Magor with Undy,"51°34′44″N 2°49′53″W﻿ / ﻿51.579°N 2.8314°W, ST424870"
Medieval Moated Site 400m N of Undy Church,Moated Site,Magor with Undy,"51°34′56″N 2°48′36″W﻿ / ﻿51.5823°N 2.81°W, ST439873"
Relict Seawall alongside Collister Pill Reen,Seawall,Magor with Undy,"51°34′33″N 2°48′04″W﻿ / ﻿51.5759°N 2.801°W, ST445866"
"St Mary's Magor, Churchyard Cross",Cross,Magor with Undy,"51°34′45″N 2°49′50″W﻿ / ﻿51.5793°N 2.8306°W, ST425870"
"St Mary's Undy, Churchyard Cross",Cross,Magor with Undy,"51°34′42″N 2°48′35″W﻿ / ﻿51.5782°N 2.8096°W, ST439869"
Moated Site South of Moynes Court,Moated Site,Mathern,"51°36′52″N 2°41′41″W﻿ / ﻿51.6144°N 2.6948°W, ST519908"
Runston Chapel,Chapel,Mathern,"51°37′13″N 2°43′45″W﻿ / ﻿51.6204°N 2.7293°W, ST496915"
Dingestow Castle,Motte,Mitchel Troy,"51°47′24″N 2°47′25″W﻿ / ﻿51.79°N 2.7902°W, SO455104"
Mill Wood Castle Mound,Motte,Mitchel Troy,"51°47′22″N 2°47′05″W﻿ / ﻿51.7894°N 2.7846°W, SO459103"
"St Michaels Mitchel Troy, Churchyard Cross",Cross,Mitchel Troy,"51°47′23″N 2°44′15″W﻿ / ﻿51.7898°N 2.7375°W, SO492103"
Moated Site at Coed-y-Fedw,Moated Site,Mitchel Troy,"51°46′30″N 2°48′16″W﻿ / ﻿51.7751°N 2.8044°W, SO446088"
"St Catwg's Cwmcarfan, Churchyard Cross",Cross,Mitchel Troy,"51°45′49″N 2°45′31″W﻿ / ﻿51.7636°N 2.7587°W, SO477074"
"St Dingad's Dingestow, Churchyard Cross",Cross,Mitchel Troy,"51°47′22″N 2°47′18″W﻿ / ﻿51.7895°N 2.7884°W, SO457103"
"St Mary's Tregaer, Churchyard Cross",Cross,Mitchel Troy,"51°47′16″N 2°50′44″W﻿ / ﻿51.7878°N 2.8455°W, SO417102"
Clawdd Du,Town defences,Monmouth,"51°48′23″N 2°43′19″W﻿ / ﻿51.8064°N 2.7219°W, SO503122"
Dixton Mound,Motte,Monmouth,"51°49′12″N 2°42′03″W﻿ / ﻿51.82°N 2.7008°W, SO517137"
Monmouth Castle,Castle,Monmouth,"51°48′45″N 2°43′00″W﻿ / ﻿51.8125°N 2.7167°W, SO506128"
Monnow Bridge,Bridge,Monmouth,"51°48′32″N 2°43′12″W﻿ / ﻿51.809°N 2.72°W, SO504125"
"St Peter's Dixton, Churchyard Cross",Cross,Monmouth,"51°49′07″N 2°41′55″W﻿ / ﻿51.8186°N 2.6985°W, SO519135"
Harold's House (site of),House (domestic),Portskewett,"51°35′21″N 2°43′31″W﻿ / ﻿51.5891°N 2.7253°W, ST498880"
"St Mary's Portskewett, Churchyard Cross",Cross,Portskewett,"51°35′24″N 2°43′28″W﻿ / ﻿51.5899°N 2.7245°W, ST499881"
Raglan Castle,Castle,Raglan,"51°46′13″N 2°50′59″W﻿ / ﻿51.7702°N 2.8498°W, SO417085"
"St Cadoc's Raglan, Churchyard Cross",Cross,Raglan,"51°45′53″N 2°51′05″W﻿ / ﻿51.7646°N 2.8514°W, SO414077"
"St Govan's Llangovan, Churchyard Cross",Cross,Raglan,"51°44′43″N 2°47′18″W﻿ / ﻿51.7453°N 2.7882°W, SO456054"
"St John's Llandenny, Churchyard Cross",Cross,Raglan,"51°43′51″N 2°50′54″W﻿ / ﻿51.7309°N 2.8482°W, SO415039"
"St Martin's Pen-y-Clawdd, Churchyard Cross",Cross,Raglan,"51°46′00″N 2°47′39″W﻿ / ﻿51.7667°N 2.7943°W, SO452078"
Trecastle Motte and Bailey,Motte and Bailey,Raglan,"51°45′34″N 2°47′45″W﻿ / ﻿51.7594°N 2.7957°W, SO451070"
"St Michael's Llanfihangel Rogiet, Churchyard Cross",Cross,Rogiet,"51°35′13″N 2°47′36″W﻿ / ﻿51.5869°N 2.7934°W, ST451878"
Cas Troggy Castle,Castle,Shirenewton,"51°39′09″N 2°50′49″W﻿ / ﻿51.6526°N 2.8469°W, ST415952"
"St Mary's Penterry, Churchyard Cross",Cross,Tintern,"51°41′07″N 2°41′46″W﻿ / ﻿51.6854°N 2.6962°W, ST519987"
Tintern Abbey Inner Precinct,Abbey,Tintern,"51°41′49″N 2°40′36″W﻿ / ﻿51.6969°N 2.6768°W, SO533000"
"Tintern Abbey, Precinct Wall",Wall,Tintern,"51°41′50″N 2°40′49″W﻿ / ﻿51.6971°N 2.6802°W, SO530000"
